,결과,A팀_선수1_공격종합_성공률,A팀_선수1_오픈_성공률,A팀_선수1_시간차_성공률,A팀_선수1_이동_성공률,A팀_선수1_후위_성공률,A팀_선수1_속공_성공률,A팀_선수1_퀵오픈_성공률,A팀_선수1_서브_성공률,A팀_선수1_범실_범실,A팀_선수2_공격종합_성공률,A팀_선수2_오픈_성공률,A팀_선수2_시간차_성공률,A팀_선수2_이동_성공률,A팀_선수2_후위_성공률,A팀_선수2_속공_성공률,A팀_선수2_퀵오픈_성공률,A팀_선수2_서브_성공률,A팀_선수2_범실_범실,A팀_선수3_공격종합_성공률,A팀_선수3_오픈_성공률,A팀_선수3_시간차_성공률,A팀_선수3_이동_성공률,A팀_선수3_후위_성공률,A팀_선수3_속공_성공률,A팀_선수3_퀵오픈_성공률,A팀_선수3_서브_성공률,A팀_선수3_범실_범실,A팀_선수4_공격종합_성공률,A팀_선수4_오픈_성공률,A팀_선수4_시간차_성공률,A팀_선수4_이동_성공률,A팀_선수4_후위_성공률,A팀_선수4_속공_성공률,A팀_선수4_퀵오픈_성공률,A팀_선수4_서브_성공률,A팀_선수4_범실_범실,A팀_선수5_공격종합_성공률,A팀_선수5_오픈_성공률,A팀_선수5_시간차_성공률,A팀_선수5_이동_성공률,A팀_선수5_후위_성공률,A팀_선수5_속공_성공률,A팀_선수5_퀵오픈_성공률,A팀_선수5_서브_성공률,A팀_선수5_범실_범실,B팀_선수1_공격종합_성공률,B팀_선수1_오픈_성공률,B팀_선수1_시간차_성공률,B팀_선수1_이동_성공률,B팀_선수1_후위_성공률,B팀_선수1_속공_성공률,B팀_선수1_퀵오픈_성공률,B팀_선수1_서브_성공률,B팀_선수1_범실_범실,B팀_선수2_공격종합_성공률,B팀_선수2_오픈_성공률,B팀_선수2_시간차_성공률,B팀_선수2_이동_성공률,B팀_선수2_후위_성공률,B팀_선수2_속공_성공률,B팀_선수2_퀵오픈_성공률,B팀_선수2_서브_성공률,B팀_선수2_범실_범실,B팀_선수3_공격종합_성공률,B팀_선수3_오픈_성공률,B팀_선수3_시간차_성공률,B팀_선수3_이동_성공률,B팀_선수3_후위_성공률,B팀_선수3_속공_성공률,B팀_선수3_퀵오픈_성공률,B팀_선수3_서브_성공률,B팀_선수3_범실_범실,B팀_선수4_공격종합_성공률,B팀_선수4_오픈_성공률,B팀_선수4_시간차_성공률,B팀_선수4_이동_성공률,B팀_선수4_후위_성공률,B팀_선수4_속공_성공률,B팀_선수4_퀵오픈_성공률,B팀_선수4_서브_성공률,B팀_선수4_범실_범실,B팀_선수5_공격종합_성공률,B팀_선수5_오픈_성공률,B팀_선수5_시간차_성공률,B팀_선수5_이동_성공률,B팀_선수5_후위_성공률,B팀_선수5_속공_성공률,B팀_선수5_퀵오픈_성공률,B팀_선수5_서브_성공률,B팀_선수5_범실_범실
339,0,31.58,22.86,50.0,0.0,45.45,0.0,26.67,0.8,15.0,41.94,28.57,100.0,0.0,0.0,0.0,46.67,0.4,3.0,36.54,36.67,40.0,0.0,0.0,0.0,35.29,0.2,4.0,53.85,37.5,0.0,0.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,60.0,0.0,0.0,4.0,42.31,36.36,57.14,0.0,16.67,0.0,100.0,0.67,2.0,40.0,30.43,100.0,0.0,0.0,0.0,54.55,0.0,4.0,44.44,37.5,100.0,0.0,60.0,0.0,0.0,0.0,2.0,32.35,33.33,0.0,0.0,0.0,0.0,37.5,0.33,3.0,33.33,66.67,0.0,25.0,0.0,0.0,0.0,0.67,1.0
340,1,40.0,40.0,0.0,0.0,33.33,0.0,100.0,0.33,4.0,18.52,17.39,0.0,0.0,0.0,0.0,33.33,0.0,2.0,22.22,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,33.33,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.53,25.0,0.0,0.0,36.36,0.0,64.29,0.2,2.0,40.0,28.57,0.0,0.0,0.0,0.0,66.67,0.0,1.0,44.44,40.0,50.0,100.0,0.0,0.0,0.0,0.0,5.0,40.0,50.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,25.0,33.33,0.0,33.33,0.0,0.0,0.0,0.2,1.0
341,0,53.85,56.67,0.0,0.0,47.06,0.0,60.0,0.33,4.0,28.57,16.67,66.67,0.0,0.0,0.0,42.86,0.0,7.0,42.86,33.33,50.0,0.0,0.0,0.0,50.0,0.0,2.0,45.45,33.33,0.0,0.0,0.0,50.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,53.85,0.0,0.0,50.0,0.0,50.0,0.33,3.0,30.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,1.0,44.0,30.77,75.0,0.0,50.0,0.0,50.0,0.67,2.0,38.46,33.33,0.0,0.0,0.0,0.0,50.0,0.33,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
342,1,44.07,38.71,50.0,0.0,40.0,0.0,83.33,0.25,6.0,38.46,44.44,50.0,0.0,0.0,0.0,16.67,0.25,1.0,42.86,37.5,50.0,0.0,0.0,50.0,0.0,0.25,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,48.39,0.0,0.0,27.27,0.0,35.29,0.0,5.0,34.15,29.41,0.0,0.0,0.0,0.0,42.86,0.0,5.0,50.0,46.15,100.0,0.0,0.0,0.0,50.0,0.33,3.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,42.86,50.0,50.0,0.0,0.0,33.33,0.0,0.0,2.0
343,1,36.36,28.57,100.0,0.0,28.57,0.0,75.0,0.0,5.0,33.33,25.0,0.0,0.0,0.0,0.0,62.5,0.0,3.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.57,38.46,0.0,0.0,0.0,0.0,12.5,0.33,4.0,35.71,41.67,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.94,57.89,100.0,0.0,35.29,0.0,64.29,0.0,8.0,35.29,40.0,0.0,0.0,100.0,0.0,16.67,0.0,0.0,45.45,40.0,0.0,100.0,0.0,40.0,0.0,0.25,0.0,45.45,37.5,100.0,0.0,0.0,0.0,0.0,0.25,1.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0
344,1,40.0,36.84,0.0,0.0,40.0,0.0,50.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,19.05,30.0,0.0,0.0,0.0,0.0,10.0,0.33,2.0,62.5,0.0,0.0,75.0,0.0,66.67,0.0,0.0,1.0,60.0,50.0,0.0,50.0,0.0,75.0,0.0,0.0,1.0,46.51,39.13,0.0,0.0,50.0,0.0,66.67,0.0,3.0,63.64,44.44,0.0,0.0,0.0,83.33,0.0,0.25,3.0,53.85,33.33,100.0,0.0,0.0,0.0,66.67,0.0,2.0,54.55,0.0,0.0,50.0,0.0,55.56,0.0,0.0,3.0,28.57,40.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0
345,0,47.5,46.43,50.0,0.0,50.0,0.0,50.0,0.0,3.0,31.82,16.67,0.0,0.0,0.0,0.0,55.56,0.67,4.0,40.0,33.33,100.0,0.0,0.0,0.0,33.33,1.0,3.0,57.14,50.0,0.0,0.0,0.0,100.0,0.0,0.33,2.0,50.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,43.55,30.0,100.0,0.0,42.86,0.0,62.5,0.5,3.0,28.57,33.33,0.0,0.0,0.0,25.0,0.0,0.75,4.0,45.45,44.44,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51.61,50.0,50.0,0.0,0.0,0.0,53.33,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0
346,0,35.14,11.11,66.67,0.0,54.55,0.0,50.0,0.0,1.0,25.0,50.0,0.0,0.0,0.0,33.33,0.0,0.0,3.0,20.0,0.0,0.0,25.0,0.0,33.33,0.0,0.67,2.0,46.15,66.67,33.33,0.0,0.0,0.0,27.27,0.0,2.0,28.57,20.0,100.0,0.0,0.0,0.0,25.0,0.0,2.0,28.57,23.33,50.0,0.0,35.29,0.0,0.0,0.0,5.0,28.95,28.57,33.33,0.0,0.0,0.0,28.57,0.5,8.0,50.0,25.0,0.0,0.0,0.0,100.0,0.0,0.5,2.0,50.0,37.5,100.0,0.0,0.0,66.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0
347,0,52.27,40.91,50.0,0.0,60.0,0.0,72.73,0.0,3.0,51.72,53.33,50.0,0.0,0.0,0.0,50.0,0.0,0.0,66.67,100.0,50.0,50.0,0.0,66.67,0.0,0.0,2.0,40.0,33.33,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,33.33,0.0,1.0,46.43,45.0,50.0,0.0,51.85,0.0,28.57,0.0,4.0,70.0,66.67,0.0,0.0,0.0,0.0,75.0,0.0,1.0,80.0,75.0,100.0,0.0,0.0,85.71,0.0,0.75,0.0,23.53,18.18,0.0,0.0,0.0,0.0,40.0,0.0,3.0,37.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0
348,0,44.68,40.74,50.0,0.0,33.33,0.0,100.0,0.33,2.0,26.67,21.43,0.0,0.0,0.0,0.0,33.33,0.33,5.0,57.14,50.0,0.0,50.0,0.0,66.67,0.0,0.0,0.0,45.45,37.5,100.0,0.0,0.0,0.0,46.15,0.0,2.0,45.45,57.14,0.0,0.0,0.0,33.33,0.0,0.0,2.0,42.5,48.28,100.0,0.0,25.0,0.0,0.0,0.0,4.0,52.94,46.15,0.0,0.0,0.0,0.0,100.0,0.0,2.0,40.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,3.0,14.81,16.67,0.0,0.0,0.0,0.0,12.5,0.0,3.0,37.5,33.33,0.0,0.0,0.0,66.67,0.0,0.0,2.0
349,1,41.94,52.63,25.0,0.0,14.29,0.0,100.0,0.33,0.0,23.81,16.67,0.0,0.0,0.0,0.0,26.67,0.0,3.0,50.0,40.0,50.0,25.0,0.0,100.0,0.0,0.33,1.0,83.33,50.0,100.0,100.0,0.0,100.0,0.0,0.0,2.0,31.25,12.5,100.0,0.0,0.0,0.0,33.33,0.0,0.0,28.89,15.79,0.0,0.0,26.67,0.0,54.55,0.75,4.0,30.3,31.25,0.0,0.0,0.0,0.0,33.33,0.25,4.0,26.67,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,22.22,0.0,50.0,0.0,16.67,100.0,0.5,3.0,71.43,75.0,0.0,0.0,0.0,100.0,0.0,0.25,1.0
350,0,38.03,26.67,0.0,0.0,53.85,0.0,61.54,0.0,2.0,31.82,37.93,0.0,0.0,0.0,0.0,30.0,0.4,5.0,25.0,14.29,0.0,0.0,0.0,50.0,0.0,0.2,1.0,18.18,14.29,0.0,0.0,0.0,0.0,25.0,0.0,1.0,66.67,33.33,100.0,100.0,0.0,66.67,0.0,0.2,2.0,38.33,55.56,0.0,0.0,15.38,0.0,44.0,0.0,4.0,13.04,16.67,0.0,0.0,0.0,0.0,11.11,0.0,7.0,26.92,11.11,60.0,0.0,0.0,0.0,25.0,0.25,3.0,55.56,66.67,100.0,0.0,0.0,0.0,0.0,0.33,1.0,42.86,16.67,0.0,50.0,0.0,66.67,0.0,0.33,1.0
351,1,56.25,42.86,100.0,0.0,83.33,0.0,0.0,0.67,3.0,66.67,60.0,100.0,0.0,0.0,0.0,66.67,0.33,5.0,30.77,27.27,0.0,0.0,0.0,50.0,0.0,0.0,1.0,43.75,37.5,0.0,0.0,0.0,0.0,50.0,0.0,3.0,54.55,66.67,0.0,50.0,0.0,50.0,0.0,0.0,0.0,35.9,39.13,42.86,0.0,0.0,22.22,0.0,0.2,5.0,28.79,30.95,100.0,0.0,18.75,0.0,28.57,0.8,12.0,45.45,66.67,0.0,50.0,0.0,33.33,0.0,0.0,1.0,51.85,45.45,100.0,0.0,0.0,0.0,53.33,0.0,6.0,45.45,35.71,0.0,0.0,100.0,0.0,57.14,0.0,5.0
352,0,66.67,70.59,50.0,0.0,0.0,62.5,0.0,0.25,0.0,45.95,38.89,100.0,0.0,55.56,0.0,44.44,0.0,2.0,70.0,50.0,0.0,100.0,0.0,71.43,0.0,0.0,1.0,35.71,33.33,100.0,0.0,0.0,0.0,28.57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.43,33.33,50.0,0.0,25.0,0.0,22.22,0.0,5.0,26.09,40.0,0.0,0.0,0.0,0.0,15.38,0.0,4.0,30.0,14.29,0.0,0.0,0.0,66.67,0.0,0.0,3.0,40.0,37.5,100.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
353,1,28.21,31.03,0.0,0.0,22.22,0.0,0.0,1.0,5.0,26.92,27.78,100.0,0.0,0.0,0.0,16.67,0.0,3.0,37.5,75.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,9.09,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.39,31.82,50.0,0.0,100.0,0.0,50.0,0.0,4.0,43.64,31.43,66.67,0.0,63.64,0.0,66.67,0.5,8.0,30.77,37.5,25.0,0.0,0.0,0.0,0.0,0.25,2.0,44.44,16.67,100.0,0.0,0.0,0.0,100.0,0.25,5.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0
355,1,59.09,66.67,0.0,0.0,58.33,0.0,66.67,0.33,5.0,35.71,0.0,0.0,0.0,0.0,0.0,45.45,0.25,1.0,26.09,25.0,33.33,0.0,50.0,0.0,20.0,0.0,3.0,53.85,60.0,0.0,0.0,0.0,0.0,50.0,0.0,3.0,14.29,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,42.5,36.84,100.0,0.0,28.57,0.0,40.0,0.0,4.0,72.0,70.0,100.0,0.0,100.0,0.0,50.0,0.0,1.0,28.57,28.57,66.67,0.0,0.0,0.0,0.0,0.0,4.0,63.64,50.0,66.67,100.0,0.0,66.67,0.0,0.25,1.0,28.57,20.0,50.0,0.0,0.0,0.0,0.0,0.33,1.0
356,1,45.95,25.0,0.0,0.0,58.33,0.0,53.85,0.0,5.0,45.45,20.0,50.0,0.0,0.0,0.0,75.0,0.0,2.0,33.33,38.46,0.0,0.0,0.0,0.0,30.0,0.0,2.0,50.0,20.0,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,36.84,70.0,0.0,27.27,0.0,50.0,0.0,5.0,58.33,20.0,100.0,0.0,0.0,0.0,83.33,0.0,1.0,39.53,23.81,0.0,0.0,50.0,0.0,61.11,0.0,5.0,6.67,16.67,0.0,0.0,0.0,0.0,0.0,0.5,3.0,37.5,66.67,0.0,0.0,0.0,25.0,0.0,0.0,0.0
357,1,52.78,36.36,100.0,0.0,72.73,0.0,100.0,0.0,6.0,9.52,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.67,1.0,53.85,57.14,0.0,50.0,0.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,52.38,0.0,0.0,31.25,0.0,53.85,0.33,4.0,37.5,0.0,0.0,50.0,0.0,66.67,0.0,0.33,1.0,35.0,14.29,33.33,0.0,0.0,0.0,50.0,0.33,3.0,42.86,75.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,4.0
358,1,37.18,44.44,100.0,0.0,24.32,0.0,50.0,0.2,9.0,34.09,35.0,0.0,0.0,0.0,0.0,33.33,0.0,4.0,30.0,0.0,0.0,50.0,0.0,0.0,0.0,0.4,4.0,20.0,14.29,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,48.28,50.0,0.0,0.0,66.67,0.0,25.0,0.67,6.0,70.59,63.64,100.0,0.0,0.0,80.0,0.0,0.0,0.0,75.0,50.0,0.0,100.0,0.0,100.0,0.0,0.33,0.0,41.18,22.22,0.0,0.0,100.0,0.0,60.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
359,1,44.9,46.15,0.0,0.0,33.33,0.0,71.43,0.5,8.0,31.58,28.57,0.0,0.0,0.0,0.0,50.0,0.33,3.0,19.05,17.24,100.0,0.0,0.0,0.0,9.09,0.0,4.0,25.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,2.0,47.14,31.58,44.44,0.0,57.14,0.0,52.38,0.25,6.0,34.62,26.67,50.0,0.0,0.0,0.0,50.0,0.0,6.0,50.0,42.86,0.0,0.0,0.0,0.0,66.67,0.0,0.0,50.0,66.67,0.0,0.0,0.0,100.0,0.0,0.5,2.0,41.67,33.33,100.0,0.0,0.0,50.0,0.0,0.0,1.0
360,1,37.5,36.84,66.67,0.0,31.25,0.0,25.0,0.5,8.0,48.28,45.0,0.0,0.0,0.0,0.0,62.5,0.25,5.0,26.92,0.0,0.0,0.0,0.0,0.0,46.67,0.25,2.0,40.0,25.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,40.0,33.33,0.0,0.0,0.0,50.0,0.0,0.0,0.0,43.9,44.0,0.0,0.0,62.5,0.0,25.0,0.67,4.0,50.0,53.33,66.67,0.0,0.0,33.33,0.0,0.0,2.0,35.29,33.33,0.0,0.0,0.0,0.0,40.0,0.0,2.0,62.5,66.67,0.0,0.0,0.0,60.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,0,45.71,35.71,100.0,0.0,52.78,0.0,40.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,66.67,0.0,0.33,3.0,22.73,30.77,0.0,0.0,0.0,0.0,12.5,0.67,3.0,25.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.25,1.0,23.68,28.57,0.0,0.0,0.0,0.0,12.5,0.0,2.0,44.44,43.48,50.0,0.0,0.0,0.0,45.45,0.5,2.0,50.94,58.06,66.67,0.0,25.0,0.0,100.0,0.25,4.0,16.67,0.0,50.0,16.67,0.0,0.0,0.0,0.25,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
362,0,48.28,48.48,0.0,0.0,50.0,0.0,42.86,0.0,5.0,37.93,30.77,0.0,0.0,0.0,0.0,43.75,0.25,1.0,34.48,26.32,0.0,0.0,0.0,0.0,50.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.86,33.33,0.0,0.0,0.0,100.0,0.0,0.25,0.0,43.06,35.71,20.0,0.0,28.57,0.0,64.0,0.25,6.0,42.86,21.05,50.0,0.0,0.0,0.0,71.43,0.75,2.0,58.33,33.33,0.0,100.0,0.0,62.5,0.0,0.0,2.0,54.55,0.0,25.0,0.0,0.0,83.33,0.0,0.0,2.0,47.62,45.45,0.0,0.0,0.0,0.0,50.0,0.25,0.0
363,0,48.15,50.0,0.0,0.0,41.67,0.0,66.67,0.33,0.0,28.57,18.75,0.0,0.0,0.0,0.0,45.45,0.0,7.0,50.0,50.0,0.0,0.0,0.0,0.0,57.14,1.0,4.0,69.23,83.33,0.0,0.0,0.0,57.14,0.0,0.0,2.0,66.67,0.0,0.0,100.0,0.0,0.0,0.0,0.33,1.0,58.97,66.67,0.0,0.0,45.45,0.0,57.14,0.25,4.0,61.9,66.67,0.0,0.0,0.0,60.0,0.0,0.25,2.0,31.58,22.22,0.0,0.0,0.0,0.0,44.44,0.0,3.0,50.0,50.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,43.48,28.57,100.0,0.0,0.0,0.0,57.14,0.75,5.0
364,1,33.78,30.56,0.0,0.0,32.26,0.0,57.14,0.2,7.0,47.62,47.83,0.0,0.0,0.0,0.0,47.37,0.0,6.0,52.78,46.67,0.0,0.0,66.67,0.0,58.82,0.2,4.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,40.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.19,33.33,0.0,0.0,61.54,0.0,50.0,0.0,4.0,55.56,50.0,0.0,0.0,0.0,57.14,0.0,0.0,2.0,23.08,14.29,0.0,33.33,0.0,33.33,0.0,0.0,2.0,44.0,50.0,0.0,0.0,0.0,0.0,40.0,0.0,6.0,41.67,37.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0
365,1,44.44,37.5,0.0,0.0,100.0,0.0,37.5,0.33,1.0,52.0,40.0,0.0,0.0,100.0,0.0,75.0,0.0,4.0,70.0,50.0,100.0,50.0,0.0,0.0,0.0,0.33,2.0,30.77,16.67,0.0,0.0,0.0,0.0,50.0,0.33,0.0,50.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,41.27,33.33,0.0,0.0,52.0,0.0,38.46,0.0,9.0,53.85,50.0,50.0,0.0,0.0,63.64,0.0,0.0,3.0,18.18,33.33,0.0,0.0,0.0,14.29,0.0,0.2,2.0,32.0,35.71,0.0,0.0,0.0,0.0,33.33,0.0,4.0,20.0,21.43,0.0,0.0,0.0,0.0,16.67,0.0,2.0
366,0,47.17,31.03,0.0,0.0,63.16,100.0,75.0,0.33,4.0,26.32,16.67,0.0,0.0,0.0,0.0,42.86,0.0,2.0,41.67,25.0,0.0,0.0,0.0,0.0,50.0,0.33,0.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,0.33,3.0,33.33,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,50.0,0.0,0.0,46.15,0.0,100.0,0.33,2.0,61.11,66.67,50.0,0.0,0.0,0.0,0.0,0.0,2.0,36.84,33.33,0.0,0.0,0.0,0.0,66.67,0.33,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,33.33,0.0,0.0,50.0,0.0,100.0,0.0,0.0,1.0
367,1,40.38,52.38,33.33,0.0,35.29,0.0,27.27,0.33,8.0,40.74,41.67,0.0,0.0,0.0,0.0,42.86,0.0,2.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.33,3.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,45.31,35.29,0.0,0.0,50.0,0.0,64.29,1.25,9.0,40.0,38.1,40.0,0.0,0.0,44.44,0.0,0.0,2.0,37.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,20.69,20.0,33.33,0.0,0.0,0.0,20.0,0.0,2.0,22.22,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0
368,0,46.34,45.0,100.0,0.0,33.33,0.0,62.5,0.67,7.0,52.0,50.0,0.0,0.0,0.0,0.0,60.0,0.33,2.0,44.44,25.0,0.0,0.0,0.0,0.0,60.0,0.33,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.81,15.79,100.0,0.0,0.0,0.0,37.5,0.0,3.0,47.92,56.0,33.33,0.0,40.0,0.0,0.0,0.0,3.0,11.11,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,20.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
369,0,28.13,21.05,100.0,0.0,0.0,0.0,33.33,0.0,3.0,60.0,50.0,0.0,0.0,0.0,0.0,66.67,0.0,3.0,33.87,28.57,0.0,0.0,29.17,0.0,50.0,0.0,4.0,37.5,50.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,33.33,33.33,0.0,0.0,0.0,100.0,0.0,0.0,1.0,26.47,24.32,0.0,0.0,30.0,0.0,31.58,0.0,10.0,30.77,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,36.84,33.33,33.33,0.0,0.0,0.0,42.86,0.0,6.0,26.67,33.33,0.0,0.0,0.0,0.0,22.22,0.0,2.0,31.25,0.0,25.0,0.0,0.0,75.0,0.0,0.5,1.0
370,1,30.43,27.59,0.0,0.0,37.5,0.0,0.0,0.0,3.0,48.0,50.0,0.0,0.0,0.0,0.0,46.67,0.0,3.0,44.9,37.5,57.14,0.0,0.0,0.0,50.0,0.5,5.0,60.0,83.33,0.0,0.0,0.0,25.0,0.0,0.0,3.0,12.5,0.0,0.0,25.0,0.0,0.0,0.0,0.25,1.0,41.86,40.63,100.0,0.0,60.0,0.0,0.0,0.0,2.0,36.84,9.09,0.0,0.0,0.0,0.0,54.17,0.0,3.0,39.29,43.75,100.0,0.0,0.0,0.0,27.27,0.0,4.0,25.0,0.0,50.0,50.0,0.0,33.33,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
371,0,34.48,28.57,0.0,0.0,52.63,0.0,0.0,0.25,8.0,60.0,62.5,0.0,0.0,0.0,50.0,0.0,0.0,2.0,20.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,63.64,50.0,0.0,50.0,0.0,71.43,0.0,0.0,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,37.86,31.91,33.33,0.0,60.0,0.0,36.84,0.0,6.0,35.71,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,50.0,50.0,0.0,33.33,0.0,75.0,0.0,0.4,0.0,28.0,27.27,50.0,0.0,0.0,0.0,27.27,0.4,3.0,22.22,25.0,0.0,0.0,0.0,33.33,0.0,0.0,1.0
372,1,48.48,60.0,42.86,0.0,34.62,0.0,62.5,0.5,8.0,38.89,61.54,0.0,0.0,0.0,0.0,26.09,0.0,3.0,38.89,20.0,0.0,0.0,0.0,0.0,46.15,0.25,1.0,40.0,100.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,53.13,60.0,50.0,0.0,25.0,0.0,57.14,0.0,2.0,30.0,33.33,0.0,0.0,0.0,0.0,30.0,0.33,3.0,44.44,31.58,0.0,0.0,33.33,0.0,64.29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,100.0,0.0,66.67,0.0,0.33,2.0
373,0,50.0,46.67,66.67,0.0,60.0,0.0,0.0,0.5,8.0,16.28,15.38,100.0,0.0,0.0,0.0,12.5,0.5,4.0,25.81,15.38,0.0,0.0,0.0,0.0,33.33,0.0,4.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.33,0.0,41.67,48.0,33.33,0.0,35.71,0.0,40.0,0.5,3.0,21.28,15.38,0.0,0.0,0.0,0.0,30.0,0.0,3.0,25.0,28.57,0.0,0.0,0.0,66.67,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
