,결과,A팀_선수1_공격종합_성공률,A팀_선수1_오픈_성공률,A팀_선수1_시간차_성공률,A팀_선수1_이동_성공률,A팀_선수1_후위_성공률,A팀_선수1_속공_성공률,A팀_선수1_퀵오픈_성공률,A팀_선수1_서브_성공률,A팀_선수1_범실_범실,A팀_선수2_공격종합_성공률,A팀_선수2_오픈_성공률,A팀_선수2_시간차_성공률,A팀_선수2_이동_성공률,A팀_선수2_후위_성공률,A팀_선수2_속공_성공률,A팀_선수2_퀵오픈_성공률,A팀_선수2_서브_성공률,A팀_선수2_범실_범실,A팀_선수3_공격종합_성공률,A팀_선수3_오픈_성공률,A팀_선수3_시간차_성공률,A팀_선수3_이동_성공률,A팀_선수3_후위_성공률,A팀_선수3_속공_성공률,A팀_선수3_퀵오픈_성공률,A팀_선수3_서브_성공률,A팀_선수3_범실_범실,A팀_선수4_공격종합_성공률,A팀_선수4_오픈_성공률,A팀_선수4_시간차_성공률,A팀_선수4_이동_성공률,A팀_선수4_후위_성공률,A팀_선수4_속공_성공률,A팀_선수4_퀵오픈_성공률,A팀_선수4_서브_성공률,A팀_선수4_범실_범실,A팀_선수5_공격종합_성공률,A팀_선수5_오픈_성공률,A팀_선수5_시간차_성공률,A팀_선수5_이동_성공률,A팀_선수5_후위_성공률,A팀_선수5_속공_성공률,A팀_선수5_퀵오픈_성공률,A팀_선수5_서브_성공률,A팀_선수5_범실_범실,B팀_선수1_공격종합_성공률,B팀_선수1_오픈_성공률,B팀_선수1_시간차_성공률,B팀_선수1_이동_성공률,B팀_선수1_후위_성공률,B팀_선수1_속공_성공률,B팀_선수1_퀵오픈_성공률,B팀_선수1_서브_성공률,B팀_선수1_범실_범실,B팀_선수2_공격종합_성공률,B팀_선수2_오픈_성공률,B팀_선수2_시간차_성공률,B팀_선수2_이동_성공률,B팀_선수2_후위_성공률,B팀_선수2_속공_성공률,B팀_선수2_퀵오픈_성공률,B팀_선수2_서브_성공률,B팀_선수2_범실_범실,B팀_선수3_공격종합_성공률,B팀_선수3_오픈_성공률,B팀_선수3_시간차_성공률,B팀_선수3_이동_성공률,B팀_선수3_후위_성공률,B팀_선수3_속공_성공률,B팀_선수3_퀵오픈_성공률,B팀_선수3_서브_성공률,B팀_선수3_범실_범실,B팀_선수4_공격종합_성공률,B팀_선수4_오픈_성공률,B팀_선수4_시간차_성공률,B팀_선수4_이동_성공률,B팀_선수4_후위_성공률,B팀_선수4_속공_성공률,B팀_선수4_퀵오픈_성공률,B팀_선수4_서브_성공률,B팀_선수4_범실_범실,B팀_선수5_공격종합_성공률,B팀_선수5_오픈_성공률,B팀_선수5_시간차_성공률,B팀_선수5_이동_성공률,B팀_선수5_후위_성공률,B팀_선수5_속공_성공률,B팀_선수5_퀵오픈_성공률,B팀_선수5_서브_성공률,B팀_선수5_범실_범실
321,0,52.38,62.5,0.0,0.0,35.71,0.0,50.0,0.0,4.0,55.0,40.0,50.0,0.0,0.0,0.0,61.54,0.0,2.0,63.64,100.0,0.0,50.0,0.0,62.5,0.0,0.0,1.0,44.44,42.11,25.0,0.0,20.0,0.0,69.23,0.67,3.0,28.57,50.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,39.24,29.55,0.0,0.0,34.78,0.0,83.33,0.25,10.0,37.5,0.0,0.0,50.0,0.0,50.0,0.0,0.5,1.0,26.32,25.0,0.0,0.0,0.0,0.0,28.57,0.0,3.0,37.5,22.22,0.0,0.0,0.0,0.0,57.14,0.5,2.0,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,1,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,3.0,12.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,42.86,0.0,2.0,37.5,30.0,0.0,0.0,100.0,0.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,48.08,46.15,100.0,0.0,50.0,0.0,42.86,0.25,6.0,42.31,25.0,50.0,0.0,100.0,0.0,54.55,0.0,3.0,40.91,36.36,0.0,0.0,0.0,0.0,45.45,0.0,2.0,37.5,25.0,0.0,66.67,0.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,33.33,0.0,75.0,0.0,0.25,1.0
323,1,50.0,61.11,0.0,0.0,33.33,0.0,50.0,0.0,6.0,25.0,27.27,100.0,0.0,0.0,0.0,0.0,0.0,2.0,46.15,50.0,50.0,0.0,0.0,100.0,0.0,0.0,2.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.03,35.48,50.0,0.0,30.43,0.0,81.82,0.25,6.0,23.08,16.67,100.0,0.0,0.0,0.0,23.08,0.25,6.0,55.56,50.0,0.0,50.0,0.0,60.0,0.0,0.0,0.0,66.67,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,33.33,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,0,53.97,53.66,0.0,0.0,55.56,0.0,50.0,0.25,6.0,41.67,34.78,0.0,0.0,0.0,0.0,53.85,0.0,2.0,44.44,33.33,0.0,0.0,0.0,50.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,48.65,47.06,44.44,0.0,42.86,0.0,75.0,0.0,4.0,35.48,33.33,66.67,0.0,0.0,0.0,28.57,0.0,1.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,100.0,0.0,33.33,0.0,50.0,0.0,0.67,0.0
325,1,41.76,44.64,0.0,0.0,35.71,0.0,50.0,0.25,9.0,54.55,57.14,0.0,0.0,0.0,50.0,0.0,0.0,1.0,33.33,33.33,0.0,33.33,0.0,33.33,0.0,0.0,2.0,39.13,42.86,50.0,0.0,0.0,0.0,25.0,0.5,7.0,30.77,30.0,0.0,0.0,0.0,0.0,33.33,0.25,5.0,56.52,61.11,0.0,0.0,0.0,50.0,0.0,0.0,0.0,30.0,38.46,0.0,0.0,0.0,0.0,20.0,0.33,3.0,26.92,0.0,100.0,0.0,0.0,0.0,40.0,0.33,3.0,40.0,40.0,0.0,0.0,0.0,57.14,0.0,0.0,4.0,38.71,36.0,50.0,0.0,52.38,0.0,21.43,0.0,10.0
326,0,47.83,36.36,50.0,0.0,64.29,0.0,50.0,0.0,3.0,25.0,20.0,0.0,0.0,100.0,0.0,21.43,0.0,4.0,36.36,0.0,50.0,0.0,0.0,75.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,100.0,0.0,0.0,0.0,25.0,0.67,2.0,43.9,40.82,0.0,0.0,45.0,0.0,53.85,0.25,7.0,39.29,18.75,100.0,0.0,0.0,0.0,63.64,0.5,5.0,29.41,25.0,0.0,0.0,0.0,0.0,37.5,0.0,4.0,44.44,0.0,0.0,50.0,0.0,100.0,0.0,0.0,1.0,33.33,66.67,0.0,0.0,0.0,20.0,0.0,0.0,0.0
327,1,63.64,65.0,100.0,0.0,64.29,0.0,55.56,0.33,4.0,34.29,25.0,50.0,0.0,0.0,0.0,43.75,0.33,3.0,33.33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.91,38.89,0.0,0.0,30.43,0.0,85.71,0.25,5.0,52.17,47.62,50.0,0.0,50.0,0.0,57.89,0.5,7.0,22.86,23.53,0.0,0.0,50.0,0.0,20.0,0.0,7.0,28.57,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,22.22,100.0,0.0,0.0,0.0,14.29,0.0,0.25,0.0
328,1,18.18,25.0,0.0,0.0,8.33,0.0,100.0,0.0,1.0,16.67,16.67,0.0,33.33,0.0,0.0,0.0,0.0,2.0,28.57,25.0,25.0,0.0,38.46,0.0,25.0,0.0,3.0,25.93,29.41,0.0,0.0,0.0,0.0,22.22,0.0,1.0,31.03,27.27,0.0,0.0,0.0,0.0,50.0,0.25,5.0,36.23,34.78,0.0,0.0,42.86,0.0,0.0,0.0,7.0,20.0,16.67,0.0,0.0,0.0,0.0,33.33,0.0,5.0,23.08,15.79,100.0,0.0,0.0,0.0,25.0,0.0,3.0,53.85,42.86,0.0,0.0,0.0,66.67,0.0,0.2,1.0,30.77,28.57,0.0,33.33,0.0,50.0,0.0,0.2,1.0
329,0,43.08,36.11,50.0,0.0,43.75,0.0,63.64,0.0,5.0,24.39,16.0,0.0,0.0,66.67,0.0,33.33,0.25,3.0,36.36,50.0,100.0,0.0,0.0,0.0,100.0,0.75,3.0,37.5,50.0,0.0,0.0,0.0,50.0,0.0,0.5,0.0,41.67,33.33,0.0,0.0,0.0,0.0,75.0,0.25,2.0,31.37,37.04,0.0,0.0,33.33,0.0,21.43,0.25,9.0,37.5,35.71,100.0,0.0,25.0,0.0,38.46,0.25,5.0,50.0,33.33,0.0,66.67,0.0,50.0,0.0,0.0,3.0,41.67,37.5,66.67,0.0,0.0,0.0,0.0,0.0,1.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.25,1.0
330,1,52.24,47.5,100.0,0.0,58.33,0.0,0.0,0.0,7.0,44.44,47.06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.83,36.84,100.0,0.0,0.0,0.0,50.0,0.0,2.0,37.5,20.0,0.0,0.0,0.0,50.0,100.0,0.25,3.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,50.0,43.75,0.0,0.0,50.0,0.0,80.0,1.33,5.0,68.42,69.23,100.0,0.0,0.0,60.0,0.0,0.0,0.0,21.43,16.67,0.0,33.33,0.0,20.0,0.0,1.0,0.0,40.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,2.0,45.45,25.0,0.0,0.0,0.0,0.0,57.14,0.0,1.0
331,0,47.62,38.1,100.0,0.0,56.25,0.0,50.0,0.0,6.0,31.58,28.57,0.0,0.0,0.0,0.0,50.0,0.0,5.0,26.32,12.5,0.0,0.0,0.0,0.0,40.0,0.0,2.0,33.33,0.0,0.0,0.0,0.0,50.0,0.0,0.33,0.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,27.69,22.58,0.0,0.0,15.79,0.0,61.54,0.0,10.0,26.83,25.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,41.67,50.0,0.0,40.0,0.0,40.0,0.0,0.25,3.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.25,6.0,40.0,50.0,0.0,0.0,0.0,50.0,0.0,0.25,0.0
332,0,29.63,14.29,0.0,100.0,0.0,50.0,66.67,0.0,4.0,23.08,0.0,25.0,0.0,0.0,0.0,45.45,0.0,4.0,20.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,9.09,50.0,0.0,0.0,0.0,14.29,0.0,1.0,41.86,34.62,100.0,0.0,45.45,0.0,60.0,0.0,6.0,35.29,42.11,0.0,0.0,25.0,0.0,100.0,0.0,7.0,21.43,20.0,0.0,0.0,0.0,0.0,50.0,0.0,4.0,25.0,33.33,0.0,0.0,0.0,20.0,0.0,0.0,2.0,46.15,33.33,66.67,0.0,0.0,0.0,50.0,0.67,3.0,20.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0
333,1,42.37,37.84,75.0,0.0,40.0,0.0,50.0,0.0,7.0,40.48,26.92,0.0,0.0,0.0,0.0,66.67,0.0,9.0,42.86,60.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,33.33,25.0,0.0,0.0,0.0,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.37,54.55,50.0,0.0,0.0,33.33,0.0,0.33,2.0,47.37,16.67,0.0,0.0,60.0,0.0,66.67,1.0,6.0,31.25,37.5,0.0,0.0,0.0,0.0,33.33,0.67,6.0,23.08,20.0,100.0,0.0,0.0,0.0,16.67,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0
334,0,50.0,50.0,0.0,0.0,71.43,0.0,50.0,0.0,2.0,45.45,42.86,100.0,0.0,0.0,0.0,42.86,0.33,3.0,43.48,66.67,100.0,0.0,25.0,0.0,0.0,0.0,4.0,57.14,0.0,0.0,0.0,0.0,57.14,0.0,0.33,0.0,28.57,0.0,0.0,100.0,0.0,33.33,0.0,0.0,0.0,50.0,53.85,0.0,0.0,41.67,0.0,0.0,0.0,11.0,28.21,20.0,100.0,0.0,100.0,0.0,33.33,0.2,5.0,30.0,33.33,100.0,0.0,0.0,0.0,0.0,0.4,3.0,20.0,23.08,0.0,0.0,0.0,0.0,0.0,0.2,5.0,27.27,0.0,100.0,66.67,0.0,0.0,0.0,0.0,3.0
335,1,34.48,20.0,0.0,0.0,0.0,0.0,53.85,0.6,1.0,45.45,37.5,100.0,100.0,44.44,0.0,25.0,0.0,3.0,60.0,0.0,100.0,83.33,0.0,0.0,0.0,0.6,4.0,38.71,26.67,0.0,0.0,0.0,0.0,53.33,0.2,4.0,20.0,22.22,0.0,0.0,0.0,0.0,0.0,0.33,4.0,45.16,40.0,0.0,0.0,57.14,0.0,50.0,0.33,4.0,76.19,81.82,100.0,0.0,0.0,57.14,0.0,0.67,1.0,29.41,20.0,100.0,0.0,0.0,0.0,40.0,0.0,2.0,14.29,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,46.67,42.86,50.0,0.0,0.0,0.0,50.0,0.0,0.0
336,1,36.17,34.62,0.0,0.0,30.77,0.0,50.0,0.33,3.0,57.14,50.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,33.33,20.0,0.0,0.0,0.0,0.0,42.86,0.67,1.0,26.47,20.0,40.0,0.0,50.0,0.0,23.53,0.0,3.0,38.46,50.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,25.0,13.64,0.0,0.0,33.33,0.0,75.0,0.0,4.0,38.89,44.44,0.0,0.0,0.0,0.0,42.86,0.0,4.0,23.08,28.57,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,50.0,0.0,25.0,0.0,0.0,1.0
337,1,38.71,25.0,66.67,0.0,66.67,0.0,50.0,0.67,4.0,52.0,37.5,100.0,0.0,0.0,0.0,71.43,0.33,5.0,43.48,41.67,0.0,0.0,0.0,0.0,50.0,1.33,4.0,40.0,33.33,0.0,0.0,0.0,0.0,75.0,0.0,2.0,50.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,45.24,28.57,33.33,0.0,100.0,0.0,50.0,0.0,7.0,40.0,37.5,100.0,0.0,100.0,0.0,33.33,0.33,3.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,53.85,16.67,75.0,100.0,0.0,100.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,33.33,0.33,4.0
